Time in file (s)	Time from start (s)	Pressure (mmHg)	corr pressure (mmHg)
2101.35828	0	-5.371094	0
2106.35828	5	-5.371094	0
2111.35828	10	-5.371094	0
2116.35828	15	-4.924805	0.446289
2121.35828	20	-4.394531	0.976563
2126.35828	25	-4.150391	1.220703
2131.35828	30	-3.173828	2.197266
2136.35828	35	-1.995117	3.375977
2141.35828	40	-0.732422	4.638672
2146.35828	45	0.244141	5.615235
2151.35828	50	0.488281	5.859375
2156.35828	55	0.732422	6.103516
2161.35828	60	1.464844	6.835938
2166.35828	65	1.464844	6.835938
2171.35828	70	1.708984	7.080078
2176.35828	75	1.953125	7.324219
2181.35828	80	1.953125	7.324219
2186.35828	85	2.441406	7.8125
2191.35828	90	2.441406	7.8125
2196.35828	95	2.929688	8.300782
2201.35828	100	3.173828	8.544922
2206.35828	105	3.90625	9.277344
2211.35828	110	3.90625	9.277344
2216.35828	115	4.638672	10.009766
2221.35828	120	5.084961	10.456055
2226.35828	125	6.347656	11.71875
2231.35828	130	7.568359	12.939453
2236.35828	135	9.479492	14.850586
2241.35828	140	12.695313	18.066407
2246.35828	145	16.601563	21.972657
2251.35828	150	22.949219	28.320313
2256.35828	155	29.052734	34.423828
2261.35828	160	28.27832	33.649414
2266.35828	165	26.123047	31.494141
2271.35828	170	23.967773	29.338867
2276.35828	175	23.193359	28.564453
2281.35828	180	21.442383	26.813477
2286.35828	185	21.198242	26.569336
2291.35828	190	19.53125	24.902344
2296.35828	195	19.573242	24.944336
2301.35828	200	17.822266	23.19336
2306.35828	205	17.864258	23.235352
2311.35828	210	17.131836	22.50293
2316.35828	215	17.536133	22.907227
2321.35828	220	15.869141	21.240235
2326.35828	225	16.845703	22.216797
2331.35828	230	15.136719	20.507813
2336.35828	235	15.869141	21.240235
2341.35828	240	14.404297	19.775391
2346.35828	245	15.869141	21.240235
2351.35828	250	13.916016	19.28711
2356.35828	255	15.136719	20.507813
2361.35828	260	13.141602	18.512696
2366.35828	265	14.404297	19.775391
2371.35828	270	13.183594	18.554688
2376.35828	275	14.160156	19.53125
2381.35828	280	12.165039	17.536133
2386.35828	285	13.874023	19.245117
2391.35828	290	12.165039	17.536133
2396.35828	295	13.427734	18.798828
2401.35828	300	11.71875	17.089844
2406.35828	305	13.183594	18.554688
2411.35828	310	11.230469	16.601563
2416.35828	315	12.939453	18.310547
2421.35828	320	10.78418	16.155274
2426.35828	325	12.65332	18.024414
2431.35828	330	10.986328	16.357422
2436.35828	335	12.451172	17.822266
2441.35828	340	10.742188	16.113282
2446.35828	345	12.207031	17.578125
2451.35828	350	10.700195	16.071289
2456.35828	355	11.71875	17.089844
2461.35828	360	10.498047	15.869141
2466.35828	365	11.962891	17.333985
2471.35828	370	10.253906	15.625
2476.35828	375	11.474609	16.845703
2481.35828	380	10.253906	15.625
2486.35828	385	11.230469	16.601563
2491.35828	390	9.967773	15.338867
2496.35828	395	11.474609	16.845703
2501.35828	400	9.521484	14.892578
2506.35828	405	10.742188	16.113282
2511.35828	410	9.235352	14.606446
2516.35828	415	11.230469	16.601563
2521.35828	420	9.033203	14.404297
2526.35828	425	10.456055	15.827149
2531.35828	430	9.033203	14.404297
2536.35828	435	9.765625	15.136719
2541.35828	440	9.521484	14.892578
2546.35828	445	9.033203	14.404297
2551.35828	450	9.277344	14.648438
2556.35828	455	8.789063	14.160157
2561.35828	460	9.033203	14.404297
2566.35828	465	8.300781	13.671875
2571.35828	470	9.033203	14.404297
2576.35828	475	8.544922	13.916016
2581.35828	480	8.74707	14.118164
2586.35828	485	8.258789	13.629883
2591.35828	490	8.74707	14.118164
2596.35828	495	8.056641	13.427735
2601.35828	500	8.544922	13.916016
2606.35828	505	7.568359	12.939453
2611.35828	510	8.544922	13.916016
2616.35828	515	7.568359	12.939453
2621.35828	520	8.056641	13.427735
2626.35828	525	7.568359	12.939453
2631.35828	530	8.056641	13.427735
2636.35828	535	7.568359	12.939453
2641.35828	540	7.8125	13.183594
2646.35828	545	7.282227	12.653321
2651.35828	550	7.12207	12.493164
2656.35828	555	7.324219	12.695313
2661.35828	560	7.080078	12.451172
2666.35828	565	7.770508	13.141602
2671.35828	570	6.591797	11.962891
2676.35828	575	7.568359	12.939453
2681.35828	580	6.145508	11.516602
2686.35828	585	6.793945	12.165039
2691.35828	590	6.347656	11.71875
2696.35828	595	6.835938	12.207032
2701.35828	600	6.103516	11.47461
2706.35828	605	6.633789	12.004883
2711.35828	610	6.061523	11.432617
2716.35828	615	6.389648	11.760742
2721.35828	620	6.305664	11.676758
2726.35828	625	6.145508	11.516602
2731.35828	630	6.103516	11.47461
2736.35828	635	6.103516	11.47461
2741.35828	640	5.859375	11.230469
2746.35828	645	5.901367	11.272461
2751.35828	650	5.859375	11.230469
2756.35828	655	5.859375	11.230469
2761.35828	660	6.061523	11.432617
2766.35828	665	5.615234	10.986328
2771.35828	670	5.615234	10.986328
2776.35828	675	5.615234	10.986328
2781.35828	680	5.657227	11.028321
2786.35828	685	5.615234	10.986328
2791.35828	690	5.615234	10.986328
2796.35828	695	5.615234	10.986328
2801.35828	700	5.573242	10.944336
2806.35828	705	5.615234	10.986328
2811.35828	710	5.371094	10.742188
2816.35828	715	5.371094	10.742188
2821.35828	720	5.573242	10.944336
2826.35828	725	5.126953	10.498047
2831.35828	730	5.329102	10.700196
2836.35828	735	5.126953	10.498047
2841.35828	740	5.126953	10.498047
2846.35828	745	5.084961	10.456055
2851.35828	750	5.084961	10.456055
2856.35828	755	5.126953	10.498047
2861.35828	760	4.882813	10.253907
2866.35828	765	4.638672	10.009766
2871.35828	770	4.638672	10.009766
2876.35828	775	4.638672	10.009766
2881.35828	780	4.638672	10.009766
2886.35828	785	4.394531	9.765625
2891.35828	790	4.436523	9.807617
2896.35828	795	4.394531	9.765625
2901.35828	800	4.394531	9.765625
